policy,track_seed,noise_std,delay_steps,dropout_prob,dead_sensor_index,steps,success,final_y,mean_lateral_error,max_lateral_error,mean_activity,hidden_dim,snn_steps,beta
SNN,1005,0.12,0,0.0,-1,31,0,4.323475497463836,0.43342242452747964,1.6229332939291998,7.612903225806452,96,40,0.92
SNN,1006,0.12,0,0.0,-1,55,0,8.085029426309223,0.27687151423534795,1.5897050140437772,7.2,96,40,0.92
SNN,1007,0.12,0,0.0,-1,26,0,4.325080192859338,0.6211633182288208,1.62211706292801,7.615384615384615,96,40,0.92
SNN,1008,0.12,0,0.0,-1,22,0,3.773482014427203,0.8054860863533357,1.593463387405671,5.409090909090909,96,40,0.92
SNN,1009,0.12,0,0.0,-1,26,0,3.60588058516272,0.4832695823725484,1.5761799148000168,7.230769230769231,96,40,0.92
SNN,1010,0.12,0,0.0,-1,24,0,4.081474378227228,0.6250391291102405,1.5581647753850407,6.916666666666667,96,40,0.92
SNN,1011,0.12,0,0.0,-1,32,0,4.517024987619095,0.48705841987827964,1.6340343683286238,7.34375,96,40,0.92
SNN,1000,0.0,0,0.0,-1,24,0,3.0717705718359207,0.4820120690228726,1.5955714820713456,2.8333333333333335,128,40,0.95
SNN,1001,0.0,0,0.0,-1,23,0,2.8495656616314804,0.47653667916596654,1.556270196117762,2.652173913043478,128,40,0.95
SNN,1002,0.0,0,0.0,-1,92,0,14.69320650726016,1.2567224995587891,1.5523841255842157,5.358695652173913,128,40,0.95
SNN,1003,0.0,0,0.0,-1,221,0,35.11031957633293,1.3472905148721324,1.5643475023812967,5.6877828054298645,128,40,0.95
SNN,1004,0.0,0,0.0,-1,221,0,35.262968727193346,1.3476166099408384,1.552927127346459,5.8054298642533935,128,40,0.95
SNN,1005,0.0,0,0.0,-1,16,0,2.7143967496767436,0.8948621036836341,1.576012312101366,4.125,128,40,0.95
SNN,1006,0.0,0,0.0,-1,252,1,40.057089349428146,1.3597646869789644,1.524389692856484,5.757936507936508,128,40,0.95
SNN,1007,0.0,0,0.0,-1,22,0,2.5911043402372136,0.5218620303926585,1.6708647875264728,3.0,128,40,0.95
SNN,1008,0.0,0,0.0,-1,28,0,3.616374865115362,0.4378647420074793,1.5962659952773288,2.392857142857143,128,40,0.95
SNN,1009,0.0,0,0.0,-1,22,0,2.499443493589007,0.517956987215667,1.6368473847951606,2.6363636363636362,128,40,0.95
SNN,1010,0.0,0,0.0,-1,20,0,2.126657379749318,0.5415898079473864,1.6398900763811102,2.95,128,40,0.95
SNN,1011,0.0,0,0.0,-1,19,0,3.228995773504686,0.9673324470509307,1.5566270380709697,4.473684210526316,128,40,0.95
SNN,1000,0.08,0,0.0,-1,22,0,3.732529149114742,0.8340810711860019,1.6262203421017667,1.6818181818181819,128,40,0.95
SNN,1001,0.08,0,0.0,-1,30,0,4.37614449089106,0.4079436095597596,1.6206538907607508,2.1333333333333333,128,40,0.95
SNN,1002,0.08,0,0.0,-1,25,0,3.8650702704202375,0.4858054387516059,1.5688611771253018,2.0,128,40,0.95
SNN,1003,0.08,0,0.0,-1,93,0,15.002221416316697,1.0006576733026218,1.5802598035748714,2.236559139784946,128,40,0.95
SNN,1004,0.08,0,0.0,-1,22,0,2.9751162819602044,0.4862884898530155,1.550906906217831,2.9545454545454546,128,40,0.95
SNN,1005,0.08,0,0.0,-1,49,0,6.956871485733662,0.5788953387042416,1.5503372174544072,1.3673469387755102,128,40,0.95
SNN,1006,0.08,0,0.0,-1,33,0,4.65984746778375,0.4744291358046975,1.582319228338734,1.7272727272727273,128,40,0.95
SNN,1007,0.08,0,0.0,-1,18,0,3.1236006359215205,0.935546691786582,1.572008206768179,3.2222222222222223,128,40,0.95
SNN,1008,0.08,0,0.0,-1,19,0,2.3709066398361265,0.5857863984779339,1.6493368761111455,2.4210526315789473,128,40,0.95
SNN,1009,0.08,0,0.0,-1,54,0,8.971422411402648,0.6494195509642617,1.5741403084816967,1.8888888888888888,128,40,0.95
SNN,1010,0.08,0,0.0,-1,34,0,4.683486702348706,0.5002145944129694,1.560233514885426,1.7941176470588236,128,40,0.95
SNN,1011,0.08,0,0.0,-1,33,0,4.490027310073174,0.4697865727187249,1.652981468262423,1.606060606060606,128,40,0.95
SNN,1000,0.12,0,0.0,-1,18,0,2.088527944078433,0.5738205588470029,1.623275384707492,2.0,128,40,0.95
SNN,1001,0.12,0,0.0,-1,79,0,12.163233225845232,0.6318816553003884,1.6144569645934514,1.5316455696202531,128,40,0.95
SNN,1002,0.12,0,0.0,-1,23,0,3.328055002165756,0.5249096074695003,1.6106306333193912,1.826086956521739,128,40,0.95
SNN,1003,0.12,0,0.0,-1,21,0,2.9120588980500894,0.5417175579178389,1.5507105799924608,2.4761904761904763,128,40,0.95
SNN,1004,0.12,0,0.0,-1,22,0,3.1636217102616655,0.569792256109687,1.6374000403152418,2.4545454545454546,128,40,0.95
SNN,1005,0.12,0,0.0,-1,31,0,4.399554426046134,0.4685083684747157,1.6385295838729008,2.4516129032258065,128,40,0.95
SNN,1006,0.12,0,0.0,-1,24,0,3.0921921252642353,0.5199765930727939,1.6466168974296125,2.1666666666666665,128,40,0.95
SNN,1007,0.12,0,0.0,-1,22,0,2.5596422092044895,0.5172101586557893,1.6312656899987856,2.272727272727273,128,40,0.95
SNN,1008,0.12,0,0.0,-1,46,0,6.753154464099871,0.44964490731593487,1.660807932432903,2.4782608695652173,128,40,0.95
SNN,1009,0.12,0,0.0,-1,23,0,3.000915538617272,0.49182581236092576,1.5993178045523098,2.739130434782609,128,40,0.95
SNN,1010,0.12,0,0.0,-1,24,0,2.852793800270983,0.4807560952902623,1.6706162754558218,1.9166666666666667,128,40,0.95
SNN,1011,0.12,0,0.0,-1,18,0,2.264740183611665,0.5850554222628885,1.6191894274999599,2.2777777777777777,128,40,0.95
