policy,track_seed,noise_std,delay_steps,dropout_prob,dead_sensor_index,steps,success,final_y,mean_lateral_error,max_lateral_error,mean_activity,condition
SNN,1011,0.0,4,0.0,-1,24,0,3.7955159955093896,0.5686113197168222,1.574789174920647,1.7083333333333333,delay_4
ANN,1000,0.0,0,0.1,-1,18,0,2.7864303695492745,0.7480436161927618,1.6655778429708878,2.4719647069772086,dropout_010
ANN,1001,0.0,0,0.1,-1,15,0,2.374616545893697,0.7505368260644828,1.5817580507731968,2.0449282844861347,dropout_010
ANN,1002,0.0,0,0.1,-1,17,0,2.3985934461230234,0.7515921917564791,1.6835810533405373,2.3030363531673657,dropout_010
ANN,1003,0.0,0,0.1,-1,13,0,1.9886871196612879,0.8075591503221351,1.6003617602409583,1.5161615312099457,dropout_010
ANN,1004,0.0,0,0.1,-1,15,0,2.110028317495425,0.8099562075689138,1.6770503191277153,2.004343827565511,dropout_010
ANN,1005,0.0,0,0.1,-1,14,0,2.089751311208802,0.7690194287495273,1.6008472996371463,1.320954591035843,dropout_010
ANN,1006,0.0,0,0.1,-1,14,0,2.3101630801142092,0.7811396895177601,1.568863787936405,1.175316259264946,dropout_010
ANN,1007,0.0,0,0.1,-1,17,0,2.621780073031539,0.7660101970927792,1.704543473634796,1.6431304847492891,dropout_010
ANN,1008,0.0,0,0.1,-1,15,0,2.2677802507249356,0.7203521615241333,1.5890344957114628,2.541205354531606,dropout_010
ANN,1009,0.0,0,0.1,-1,25,0,3.9425198492584195,0.5374786833432659,1.5747210132297997,1.928608433008194,dropout_010
ANN,1010,0.0,0,0.1,-1,23,0,3.738392990424334,0.6355701691168034,1.6903568080582492,2.55351329886395,dropout_010
ANN,1011,0.0,0,0.1,-1,16,0,2.4090610267362744,0.7153657114483762,1.6029481030875117,1.9076570495963097,dropout_010
SNN,1000,0.0,0,0.1,-1,19,0,3.0749897604281275,0.7329418650475616,1.5734088129455996,2.473684210526316,dropout_010
SNN,1001,0.0,0,0.1,-1,14,0,2.084192898457937,0.8488552100701529,1.7095513132461708,3.5,dropout_010
SNN,1002,0.0,0,0.1,-1,26,0,4.14853343036911,0.6705910111339697,1.5682879807381342,3.230769230769231,dropout_010
SNN,1003,0.0,0,0.1,-1,14,0,2.139210707604295,0.8310584600519741,1.6720504599972752,3.642857142857143,dropout_010
SNN,1004,0.0,0,0.1,-1,13,0,1.806870870698499,0.8013124748314717,1.5865911075697108,3.6153846153846154,dropout_010
SNN,1005,0.0,0,0.1,-1,20,0,2.8432693398129025,0.73291322305604,1.5528247590901225,3.3,dropout_010
SNN,1006,0.0,0,0.1,-1,257,1,40.09997417214475,1.2838609249908617,1.5327105485567218,4.400778210116732,dropout_010
SNN,1007,0.0,0,0.1,-1,180,0,28.1634091668103,1.2792267086379436,1.560477632113646,4.427777777777778,dropout_010
SNN,1008,0.0,0,0.1,-1,136,0,21.37095624227824,1.162812449812318,1.5514572822120154,4.110294117647059,dropout_010
SNN,1009,0.0,0,0.1,-1,17,0,2.8238392954646256,0.7172669022825375,1.568514337647008,3.411764705882353,dropout_010
SNN,1010,0.0,0,0.1,-1,256,1,40.061901175303326,1.2335762070451999,1.505949107586056,4.34375,dropout_010
SNN,1011,0.0,0,0.1,-1,13,0,1.9297276915512458,0.7993716133539229,1.5830171950464849,3.4615384615384617,dropout_010
ANN,1000,0.0,0,0.2,-1,32,0,5.030131980614755,0.5177140062058533,1.6645884199355103,3.013128121383488,dropout_020
ANN,1001,0.0,0,0.2,-1,16,0,2.532084935221261,0.7583493614551633,1.6223968845683903,1.7598170265555382,dropout_020
ANN,1002,0.0,0,0.2,-1,22,0,3.337107249402839,0.6014962420187314,1.5816355930363086,2.713259906931357,dropout_020
ANN,1003,0.0,0,0.2,-1,17,0,2.627230818959126,0.7185304114161989,1.6510852938689013,2.7016022696214566,dropout_020
ANN,1004,0.0,0,0.2,-1,33,0,5.229693103453536,0.5831916832241012,1.6241429891468815,3.6945369361024913,dropout_020
ANN,1005,0.0,0,0.2,-1,16,0,2.4074766058748573,0.707477161195387,1.6101533718397678,2.005633745342493,dropout_020
ANN,1006,0.0,0,0.2,-1,21,0,3.429234138756492,0.609079600190503,1.5590303214999994,2.5540650600478765,dropout_020
